Species	Individuals sampled	Haplotypes observed	Monophyly assessment	Tanglees (for non-monophyletic species)	Maximum intraspecific divergence	Deepest intraspecific split (K2P)	Distance to nearest neighbor (K2P)	ABGD outcome	BIN outcome	GMYC outcome	PTP outcome
Trox sabulosus	3	2	monophyletic		0.15		16.58	match	match	match	match
Trypodendron domesticum	2	2	monophyletic		0.15		11.34	match	match	match	match
Trypodendron signatum	1	1	monophyletic		N/A		11.34	match	match	match	match
Trypophloeus bispinulus	2	2	monophyletic		13.17	13.17	21.14	split	split	split	split
Tychius breviusculus	3	2	monophyletic		0.16		16.29	match	match	match	match
Tychius junceus	1	1	monophyletic		N/A		17.03	match	match	match	match
Tychius picirostris	5	3	monophyletic		1.11		16.81	match	match	match	match
Tychius schneideri	1	1	monophyletic		N/A		16.29	match	match	match	match
Typhaea decipiens	1	1	monophyletic		N/A		6.70	match	match	match	match
Typhaea stercorea	2	1	monophyletic		0.00		6.70	match	match	match	match
Tyrus mucronatus	1	1	monophyletic		N/A		14.17	match	match	match	match
Tytthaspis sedecimpunctata	2	1	monophyletic		0.00		14.07	match	match	match	match
Upis ceramboides	1	1	monophyletic		N/A		15.53	match	match	match	match
Velleius dilatatus	1	1	monophyletic		N/A		12.96	match	match	match	match
Xantholinus linearis	3	3	monophyletic		0.30		13.10	match	match	match	match
Xantholinus tricolor	3	1	monophyletic		0.00		13.66	match	match	match	match
Xyleborus cryptographus	1	1	monophyletic		N/A		18.81	match	match	match	match
Xyletinus planicollis	1	1	monophyletic		N/A		15.99	match	match	match	match
Xylita laevigata	3	3	monophyletic		0.46		17.91	match	match	match	match
Xylotrechus antilope	1	1	monophyletic		N/A		17.52	match	match	match	match
Xylotrechus pantherinus	2	2	monophyletic		0.30		5.75	match	match	match	match
Xylotrechus rusticus	4	3	monophyletic		0.30		5.75	match	match	match	match
Zacladus geranii	3	3	monophyletic		2.33	1.54	18.42	match	split	match	match
Zeugophora scutellaris	1	1	monophyletic		N/A		9.42	match	match	match	match
Zeugophora subspinosa	3	3	monophyletic		1.23		9.42	match	match	match	match
Zorochros minimus	4	3	monophyletic		0.78		17.42	match	match	match	match
Zyras humeralis	2	2	monophyletic		0.61		12.42	match	match	match	match
