Species	Individuals sampled	Haplotypes observed	Monophyly assessment	Tanglees (for non-monophyletic species)	Maximum intraspecific divergence	Deepest intraspecific split (K2P)	Distance to nearest neighbor (K2P)	ABGD outcome	BIN outcome	GMYC outcome	PTP outcome	Average distance between samplings (km)	Stdev of distances between samplings (km)
Pterostichus aethiops	1	1	monophyletic		N/A		6.25	match	match	match	match	0	N/A
Pterostichus crenatus	5	3	monophyletic		0.30		9.21	match	match	match	match	398.14	227.51
Pterostichus diligens	7	4	monophyletic		0.46		4.22	match	match	match	match	335.72	205.86
Pterostichus melanarius	3	3	monophyletic		0.61		6.25	match	match	split	match	348.17	44.63
Pterostichus minor	5	4	monophyletic		0.77		5.88	match	match	match	match	110.75	125.07
Pterostichus niger	5	2	monophyletic		0.64		10.08	match	match	match	match	281.23	167.89
Pterostichus nigrita	4	1	monophyletic		0.15		0.15	merge	merge	merge	merge	245.64	196.20
Pterostichus oblongopunctatus	4	1	monophyletic		0.00		0.00	merge	merge	merge	merge	259.51	206.58
Pterostichus rhaeticus	2	2	paraphyletic	Pterostichus nigrita	1.70	1.70	1.38	merge	merge	merge	merge	0	N/A
Pterostichus strenuus	3	3	monophyletic		0.31		4.22	match	match	match	match	300.20	118.17
Pteryx suturalis	1	1	monophyletic		N/A		14.22	match	match	match	match	0	N/A
Ptilinus fuscus	3	2	monophyletic		0.46		17.81	match	match	match	match	69.91	60.54
Ptiliola kunzei	2	2	monophyletic		6.20	6.20	13.09	split	split	split	split	0	N/A
Ptiliolum sahlbergi	2	1	monophyletic		0.00		12.91	match	match	match	match	0	N/A
Ptilium exaratum	2	2	monophyletic		12.82	12.82	14.57	split	split	split	split	0	N/A
Ptinus rufipes	3	1	monophyletic		0.00		19.27	match	match	match	match	38.13	32.72
Ptinus subpillosus	1	1	monophyletic		N/A		9.92	match	match	match	match	0	N/A
Ptinus villiger	2	2	monophyletic		0.31		9.92	match	match	match	match	0	N/A
Purpuricenus kaehleri	1	1	monophyletic		N/A		20.30	match	match	match	match	0	N/A
Pycnoglypta lurida	2	2	monophyletic		1.23		11.30	match	match	match	match	0	N/A
Pyrochroa coccinea	1	1	monophyletic		N/A		11.25	match	match	match	match	0	N/A
Pyrrhalta viburni	4	2	monophyletic		0.15		10.86	match	match	match	match	273.56	299.67
Pytho depressus	3	3	monophyletic		0.92		10.11	match	match	match	match	314.34	96.23
Pytho kolwensis	3	2	monophyletic		0.15		10.11	match	match	match	match	0.00	0.00
Quedius boopoides	6	3	paraphyletic	Quedius fulvicollis	2.17	1.65	1.23	merge	merge	mixture	merge	192.71	138.26
Quedius boops	3	3	monophyletic		1.08		10.75	match	match	match	match	380.08	163.03
Quedius brevicornis	2	2	monophyletic		0.15		12.79	match	match	match	match	0	N/A
Quedius brevis	1	1	monophyletic		N/A		12.79	match	match	match	match	0	N/A
Quedius cinctus	2	2	monophyletic		1.54	1.54	12.42	match	match	match	match	0	N/A
Quedius cruentus	1	1	monophyletic		N/A		9.11	match	match	match	match	0	N/A
Quedius curtipennis	1	1	monophyletic		N/A		6.71	match	match	match	match	0	N/A
Quedius fellmani	5	1	monophyletic		0.00		0.92	merge	merge	merge	merge	0.00	0.00
Quedius fuliginosus	3	2	monophyletic		0.16		6.71	match	match	match	match	577.33	87.99
Quedius fulvicollis	2	1	monophyletic		0.00		1.23	merge	merge	mixture	merge	0	N/A
Quedius levicollis	1	1	monophyletic		N/A		8.56	match	match	match	match	0	N/A
Quedius limbatus	2	2	monophyletic		0.46		11.96	match	match	match	match	0	N/A
Quedius lundbergi	3	1	monophyletic		0.00		12.59	match	match	match	match	33.08	28.55
Quedius maurus	3	1	monophyletic		0.00		6.25	match	match	match	match	304.32	263.55
Quedius mesomelinus	2	2	monophyletic		4.18	4.18	6.25	match	split	split	split	0	N/A
Quedius molochinus	1	1	monophyletic		N/A		13.33	match	match	match	match	0	N/A
Quedius nitipennis	4	2	monophyletic		0.15		0.92	merge	merge	merge	merge	400.01	237.90
Quedius plagiatus	1	1	monophyletic		N/A		13.02	match	match	match	match	0	N/A
Quedius pseudolimbatus	1	1	monophyletic		N/A		11.96	match	match	match	match	0	N/A
Quedius scitus	2	1	monophyletic		0.00		10.79	match	match	match	match	0	N/A
Quedius sp.	1	1	monophyletic		N/A		7.22	match	match	match	match	0	N/A
Quedius tenellus	1	1	monophyletic		N/A		10.79	match	match	match	match	0	N/A
Quedius umbrinus	1	1	monophyletic		N/A		14.35	match	match	match	match	0	N/A
Quedius xanthopus	2	1	monophyletic		0.00		13.23	match	match	match	match	0	N/A
Rabocerus foveolatus	1	1	monophyletic		N/A		17.03	match	match	match	match	0	N/A
Rhacopus sahlbergi	1	1	monophyletic		N/A		21.14	match	match	match	match	0	N/A
Rhagium inquisitor	3	2	monophyletic		0.15		11.14	match	match	match	match	446.84	180.52
Rhagium mordax	5	3	monophyletic		0.46		11.14	match	match	match	match	629.20	326.30
Rhagium sycophanta	1	1	monophyletic		N/A		14.57	match	match	match	match	0	N/A
Rhagonycha atra	3	1	monophyletic		0.00		9.22	match	match	match	match	302.22	59.61
Rhagonycha elongata	2	2	monophyletic		0.76		9.22	match	match	match	match	0	N/A
Rhagonycha fulva	3	2	monophyletic		0.16		8.36	match	match	match	match	30.48	26.40
Rhagonycha lignosa	5	1	monophyletic		0.00		8.36	match	match	match	match	339.66	209.64
Rhagonycha lutea	1	1	monophyletic		N/A		9.75	match	match	match	match	0	N/A
Rhagonycha nigriventris	5	3	monophyletic		0.46		9.83	match	match	match	match	600.91	329.48
Rhagonycha testacea	2	2	monophyletic		1.08		9.83	match	match	match	match	0	N/A
Rhamphus oxyacanthae	3	2	monophyletic		0.46		14.59	match	match	match	match	0.00	0.00
Rhamphus pulicarius	6	2	monophyletic		7.77	6.94	14.59	split	split	split	split	495.38	418.19
Rhantus exsoletus	6	4	monophyletic		0.81		6.41	match	match	match	match	322.04	180.90
Rhantus frontalis	5	4	monophyletic		0.49		10.53	match	match	match	match	380.64	200.84
Rhantus grapii	2	2	monophyletic		1.54	1.54	10.98	match	match	match	match	0	N/A
Rhantus suturalis	1	1	monophyletic		N/A		9.64	match	match	match	match	0	N/A
Rhantus suturellus	3	3	monophyletic		6.57	3.62	6.41	split	split	split	split	330.72	110.52
Rhinocyllus conicus	2	1	monophyletic		0.00		19.59	match	match	match	match	0	N/A
Rhinoncus bruchoides	4	4	monophyletic		0.47		12.23	match	match	match	match	312.74	339.70
Rhinoncus castor	12	4	monophyletic		0.46		12.23	match	match	match	match	318.83	219.78
Rhinoncus inconspectus	2	1	monophyletic		0.00		16.96	match	match	match	match	0	N/A
Rhinoncus pericarpius	15	7	monophyletic		2.97	2.65	14.46	match	split	match	match	277.17	184.08
Rhinoncus perpendicularis	4	1	monophyletic		0.00		16.35	match	match	match	match	98.80	74.29
Rhinusa antirrhini	2	2	monophyletic		16.72	16.72	23.23	split	split	split	split	0	N/A
Rhizophagus bipustulatus	2	2	monophyletic		0.16		16.38	match	match	match	match	0	N/A
Rhizophagus depressus	1	1	monophyletic		N/A		11.32	match	match	match	match	0	N/A
Rhizophagus dispar	4	1	monophyletic		0.00		14.20	match	match	match	match	242.98	99.79
Rhizophagus fenestralis	2	2	monophyletic		0.81		14.20	match	match	match	match	0	N/A
Rhizophagus grandis	1	1	monophyletic		N/A		11.32	match	match	match	match	0	N/A
Rhizophagus picipes	2	2	monophyletic		0.64		14.33	match	match	match	match	0	N/A
Rhynchaenus iota	2	2	monophyletic		0.15		18.79	match	match	match	match	0	N/A
Rhynchaenus lonicerae	2	2	monophyletic		1.23		18.80	match	match	match	match	0	N/A
Rhynchaenus rusci	3	2	monophyletic		3.19	3.12	18.56	match	split	split	split	736.74	267.84
Rhynchaenus testaceus	2	2	monophyletic		0.46		18.56	match	match	match	match	0	N/A
Rhynchites cupreus	4	2	monophyletic		0.15		17.76	match	match	match	match	77.51	35.67
Rhyncolus ater	4	2	monophyletic		1.54	1.47	23.11	match	match	match	match	85.62	72.80
Ropalodontus strandi	1	1	monophyletic		N/A		19.85	match	match	match	match	0	N/A
Ropalopus femoratus	1	1	monophyletic		N/A		17.46	match	match	match	match	0	N/A
Rugilus fragilis	1	1	monophyletic		N/A		11.87	match	match	match	match	0	N/A
Rugilus orbiculatus	4	3	monophyletic		1.70	1.39	11.87	match	split	match	match	246.21	155.27
Rugilus rufipes	5	2	monophyletic		0.15		14.81	match	match	match	match	195.72	144.20
Rutidosoma globulus	3	3	monophyletic		1.85	1.85	17.50	match	match	match	match	235.54	85.38
Rybaxis laminata	2	2	monophyletic		0.15		0.00	merge	merge	merge	merge	0	N/A
Rybaxis longicornis	7	2	paraphyletic	Rybaxis laminata	1.23		0.00	merge	merge	merge	merge	428.05	238.20
Salpingus planirostris	2	2	monophyletic		0.61		16.24	match	match	match	match	0	N/A
Salpingus ruficollis	1	1	monophyletic		N/A		18.09	match	match	match	match	0	N/A
Saperda carcharias	3	2	monophyletic		0.15		14.64	match	match	match	match	429.92	343.41
Saperda perforata	10	4	monophyletic		0.61		15.48	match	match	match	match	343.49	231.21
Saperda scalaris	10	4	monophyletic		1.08		14.95	match	match	match	match	456.95	276.33
Scaphidium quadrimaculatum	5	2	monophyletic		0.49		14.74	match	match	match	match	249.72	129.85
Scaphisoma agaricinum	4	1	monophyletic		0.00		14.93	match	match	match	match	434.80	273.24
Scaphisoma subalpinum	2	1	monophyletic		0.00		15.50	match	match	match	match	0	N/A
Scarodytes halensis	2	1	monophyletic		0.00		12.03	match	match	match	match	0	N/A
Schistoglossa aubei	1	1	monophyletic		N/A		13.02	match	match	match	match	0	N/A
Schistoglossa curtipennis	2	2	monophyletic		0.17		13.59	match	match	match	match	0	N/A
Schistoglossa gemina	1	1	monophyletic		N/A		13.69	match	match	match	match	0	N/A
Schistoglossa viduata	1	1	monophyletic		N/A		13.27	match	match	match	match	0	N/A
Schizotus pectinicornis	3	1	monophyletic		0.00		11.25	match	match	match	match	341.93	89.51
Sciaphilus asperatus	4	4	monophyletic		0.46		18.25	match	match	match	match	277.82	173.42
Sciodrepoides alpestris	1	1	monophyletic		N/A		11.31	match	match	match	match	0	N/A
Sciodrepoides fumatus	1	1	monophyletic		N/A		11.31	match	match	match	match	0	N/A
Sciodrepoides watsoni	2	2	monophyletic		0.15		15.49	match	match	match	match	0	N/A
Scolytus intricatus	1	1	monophyletic		N/A		19.89	match	match	match	match	0	N/A
Scolytus ratzeburgii	2	2	monophyletic		2.23	2.23	21.62	match	match	match	match	0	N/A
Scopaeus laevigatus	2	2	monophyletic		0.61		17.03	match	match	match	match	0	N/A
Scraptia fuscula	1	1	monophyletic		N/A		16.23	match	match	match	match	0	N/A
Scymnus frontalis	1	1	monophyletic		N/A		5.70	match	match	match	match	0	N/A
Scymnus haemorrhoidalis	3	1	monophyletic		0.00		14.12	match	match	match	match	157.88	49.03
Scymnus nigrinus	4	2	monophyletic		0.16		14.81	match	match	match	match	422.87	287.25
Scymnus schmidti	1	1	monophyletic		N/A		5.70	match	match	match	match	0	N/A
Scymnus suturalis	1	1	monophyletic		N/A		15.04	match	match	match	match	0	N/A
Selatosomus aeneus	2	1	monophyletic		0.00		16.21	match	match	match	match	0	N/A
Selatosomus cruciatus	3	1	monophyletic		0.00		15.36	match	match	match	match	208.62	95.14
Selatosomus impressus	4	2	monophyletic		1.85	1.85	17.14	match	split	match	match	612.64	389.50
Selatosomus melancholicus	3	3	monophyletic		12.36	11.44	15.36	split	split	split	split	360.74	137.88
Sepedophilus littoreus	4	3	monophyletic		0.64		14.13	match	match	match	match	510.60	191.04
Sepedophilus marshami	4	2	monophyletic		0.61		12.69	match	match	match	match	244.53	101.29
Sepedophilus pedicularius	2	2	monophyletic		0.15		13.29	match	match	match	match	0	N/A
Sepedophilus testaceus	1	1	monophyletic		N/A		12.69	match	match	match	match	0	N/A
Serica brunnea	2	1	monophyletic		0.00		17.15	match	match	match	match	0	N/A
Sericoderus lateralis	1	1	monophyletic		N/A		14.56	match	match	match	match	0	N/A
Sericus brunneus	2	2	monophyletic		0.15		16.67	match	match	match	match	0	N/A
Sibinia viscariae	2	1	monophyletic		0.00		15.13	match	match	match	match	0	N/A
Silis ruficollis	3	1	monophyletic		0.00		14.95	match	match	match	match	0.00	0.00
Silpha carinata	4	3	monophyletic		1.39		13.83	match	match	match	match	80.61	44.82
Silpha tristis	2	1	monophyletic		0.00		9.96	match	match	match	match	0	N/A
Silvanoprus fagi	2	2	monophyletic		0.15		18.45	match	match	match	match	0	N/A
Silvanus bidentatus	2	1	monophyletic		0.00		18.45	match	match	match	match	0	N/A
Sinodendron cylindricum	1	1	monophyletic		N/A		17.24	match	match	match	match	0	N/A
Sirocalodes depressicollis	2	2	monophyletic		0.15		15.52	match	match	match	match	0	N/A
Sitona ambiguus	1	1	monophyletic		N/A		12.93	match	match	match	match	0	N/A
Sitona hispidulus	2	1	monophyletic		0.00		15.70	match	match	match	match	0	N/A
Sitona lepidus	4	3	monophyletic		3.79	3.75	16.13	match	split	split	split	522.58	355.06
Sitona lineellus	3	2	monophyletic		1.23		12.93	match	split	match	match	703.55	606.11
Sitona sulcifrons	1	1	monophyletic		N/A		18.95	match	match	match	match	0	N/A
Sitona suturalis	1	1	monophyletic		N/A		14.56	match	match	match	match	0	N/A
Sitophilus oryzae	1	1	monophyletic		N/A		19.13	match	match	match	match	0	N/A
Smaragdina affinis	2	2	monophyletic		0.15		9.68	match	match	match	match	0	N/A
Smaragdina flavicollis	1	1	monophyletic		N/A		9.68	match	match	match	match	0	N/A
Smaragdina salicina	4	2	monophyletic		1.54	1.54	10.53	match	split	match	match	218.09	153.22
Smicrus filicornis	1	1	monophyletic		N/A		14.00	match	match	match	match	0	N/A
Sospita vigintiguttata	1	1	monophyletic		N/A		9.95	match	match	match	match	0	N/A
Spavius glaber	2	2	monophyletic		1.70	1.70	16.37	match	match	match	match	0	N/A
Sphaeridium lunatum	3	1	monophyletic		0.00		6.85	match	match	match	match	0.00	0.00
Sphaeridium scarabaeoides	1	1	monophyletic		N/A		6.85	match	match	match	match	0	N/A
Sphaeriestes stockmanni	2	2	monophyletic		0.15		16.63	match	match	match	match	0	N/A
Sphaeroderma testaceum	2	2	monophyletic		3.44	3.44	17.82	match	split	split	split	0	N/A
Sphaerosoma pilosum	1	1	monophyletic		N/A		15.49	match	match	match	match	0	N/A
Sphindus dubius	2	2	monophyletic		3.28	3.28	20.26	match	match	split	split	0	N/A
Spondylis buprestoides	4	2	monophyletic		1.27		16.39	match	match	match	match	302.29	174.66
Stagetus borealis	1	1	monophyletic		N/A		15.58	match	match	match	match	0	N/A
Staphylinus caesareus	1	1	monophyletic		N/A		15.81	match	match	match	match	0	N/A
Stenagostus rhombeus	1	1	monophyletic		N/A		16.33	match	match	match	match	0	N/A
Stenichnus collaris	3	3	monophyletic		1.23		17.56	match	match	match	match	360.87	230.00
Stenocorus meridianus	3	1	monophyletic		0.00		15.48	match	match	match	match	3.60	2.29
Stenolophus mixtus	2	2	monophyletic		0.46		10.58	match	match	match	match	0	N/A
Stenostola dubia	3	1	monophyletic		0.00		14.64	match	match	match	match	133.27	52.07
Stenotrachelus aeneus	4	2	monophyletic		0.15		14.94	match	match	match	match	223.63	171.55
Stenus argus	1	1	monophyletic		N/A		8.61	match	match	match	match	0	N/A
Stenus assequens	1	1	monophyletic		N/A		15.19	match	match	match	match	0	N/A
Stenus atratulus	2	2	monophyletic		0.30		14.39	match	match	match	match	0	N/A
Stenus bifoveolatus	6	1	monophyletic		0.00		15.33	match	match	match	match	441.89	289.89
Stenus biguttatus	3	1	monophyletic		0.00		14.61	match	match	match	match	389.48	337.30
Stenus bilineatus	1	1	monophyletic		N/A		14.40	match	match	match	match	0	N/A
Stenus bimaculatus	1	1	monophyletic		N/A		12.79	match	match	match	match	0	N/A
Stenus binotatus	1	1	monophyletic		N/A		15.32	match	match	match	match	0	N/A
Stenus bohemicus	3	1	monophyletic		0.00		7.58	match	match	match	match	254.44	220.35
Stenus boops	2	2	monophyletic		0.30		10.09	match	match	match	match	0	N/A
Stenus canaliculatus	3	3	monophyletic		0.46		16.47	match	match	match	match	331.50	203.25
Stenus carbonarius	4	1	monophyletic		0.00		13.89	match	match	match	match	0.00	0.00
Stenus cicindeloides	5	4	monophyletic		0.31		15.73	match	match	match	match	115.45	75.12
Stenus clavicornis	5	4	monophyletic		0.93		10.80	match	match	match	match	475.26	240.59
Stenus comma	3	2	monophyletic		0.77		14.57	match	match	match	match	62.66	54.27
Stenus crassus	1	1	monophyletic		N/A		13.36	match	match	match	match	0	N/A
Stenus excubitor	2	2	paraphyletic	Stenus morio	13.68	13.68	12.65	split	split	split	split	0	N/A
Stenus flavipes	5	4	monophyletic		0.92		15.88	match	match	match	match	171.32	202.11
Stenus formicetorum	2	2	paraphyletic	Stenus intermedius	1.38		0.46	merge	merge	merge	merge	0	N/A
Stenus fuscipes	2	2	monophyletic		0.30		8.61	match	match	match	match	0	N/A
Stenus geniculatus	5	2	monophyletic		0.15		10.26	match	match	match	match	572.80	407.21
Stenus incrassatus	6	4	monophyletic		0.92		11.21	match	match	match	match	111.59	66.85
Stenus intermedius	3	1	monophyletic		0.00		0.46	merge	merge	merge	merge	0.00	0.00
Stenus juno	4	4	monophyletic		2.01	1.69	10.80	match	split	split	match	446.19	212.51
Stenus labilis	1	1	monophyletic		N/A		13.03	match	match	match	match	0	N/A
Stenus melanarius	2	2	monophyletic		1.23		10.09	match	match	match	match	0	N/A
Stenus morio	1	1	monophyletic		N/A		12.65	match	match	match	match	0	N/A
Stenus nigritulus	1	1	monophyletic		N/A		17.09	match	match	match	match	0	N/A
Stenus nitens	7	7	monophyletic		2.17	1.69	13.03	match	match	split	split	441.06	383.15
Stenus niveus	2	2	monophyletic		0.15		15.39	match	match	match	match	0	N/A
Stenus palposus	2	1	monophyletic		0.00		12.94	match	match	match	match	0	N/A
Stenus palustris	6	4	monophyletic		0.61		10.26	match	match	match	match	453.45	326.60
Stenus similis	3	3	monophyletic		0.30		14.57	match	match	match	match	611.87	529.89
Stenus strandi	5	4	monophyletic		0.46		10.43	match	match	match	match	85.21	109.81
Stenus sylvester	1	1	monophyletic		N/A		12.79	match	match	match	match	0	N/A
Stenus tarsalis	2	1	monophyletic		0.00		7.58	match	match	match	match	0	N/A
Stenus umbratilis	4	1	monophyletic		0.00		16.86	match	match	match	match	243.63	153.87
Stephanopachys linearis	2	2	monophyletic		0.15		22.38	match	match	match	match	0	N/A
Stephostethus lardarius	4	4	monophyletic		1.29		15.91	match	match	match	match	595.80	261.20
Stephostethus pandellei	2	1	monophyletic		0.00		13.92	match	match	match	match	0	N/A
Stephostethus variolosus	4	4	monophyletic		1.45	1.23	13.92	match	match	match	match	84.08	64.50
Stereonychus fraxini	1	1	monophyletic		N/A		17.25	match	match	match	match	0	N/A
Stethorus pusillus	1	1	monophyletic		N/A		20.58	match	match	match	match	0	N/A
Stictotarsus griseostriatus	4	1	monophyletic		0.00		14.13	match	match	match	match	0.00	0.00
Stilbus atomarius	3	3	monophyletic		0.61		13.27	match	match	match	match	250.63	106.62
Stilbus oblongus	2	2	monophyletic		0.46		13.27	match	match	match	match	0	N/A
Stomis pumicatus	1	1	monophyletic		N/A		10.96	match	match	match	match	0	N/A
Stricticollis tobias	2	1	monophyletic		0.00		14.03	match	match	match	match	0	N/A
Strophosoma capitatum	8	4	monophyletic		2.64	2.48	17.03	split	split	match	match	482.57	325.86
Strophosoma melanogrammum	2	1	monophyletic		0.00		17.03	match	match	match	match	0	N/A
Sulcacis fronticornis	1	1	monophyletic		N/A		18.16	match	match	match	match	0	N/A
Sulcacis nitidus	3	3	monophyletic		0.46		19.38	match	match	match	match	370.53	320.89
Syneta betulae	2	2	monophyletic		0.15		17.89	match	match	match	match	0	N/A
Syntomus foveatus	2	2	monophyletic		0.15		8.92	match	match	match	match	0	N/A
Syntomus truncatellus	6	5	monophyletic		1.25		8.92	match	match	match	match	380.62	208.84
Synuchus vivalis	2	1	monophyletic		0.00		12.55	match	match	match	match	0	N/A
Tachinus basalis	1	1	monophyletic		N/A		12.57	match	match	match	match	0	N/A
Tachinus corticinus	1	1	monophyletic		N/A		9.60	match	match	match	match	0	N/A
Tachinus elegans	1	1	monophyletic		N/A		7.75	match	match	match	match	0	N/A
Tachinus elongatus	3	1	monophyletic		0.00		11.49	match	match	match	match	171.58	148.59
Tachinus laticollis	3	3	monophyletic		0.30		11.15	match	match	match	match	407.81	185.57
Tachinus lignorum	6	2	monophyletic		0.15		9.40	match	match	match	match	540.53	320.13
Tachinus marginatus	5	1	monophyletic		0.00		5.88	match	match	match	match	170.76	122.74
Tachinus marginellus	6	2	monophyletic		0.15		9.40	match	match	match	match	16.52	9.33
Tachinus pallipes	6	6	monophyletic		0.61		5.88	match	match	match	match	300.58	154.21
Tachinus proximus	6	5	monophyletic		1.86	1.54	12.08	match	match	match	match	449.22	327.58
Tachinus schneideri	1	1	monophyletic		N/A		14.44	match	match	match	match	0	N/A
Tachyerges salicis	2	2	monophyletic		2.65	2.65	17.84	match	split	split	split	0	N/A
Tachyerges stigma	3	2	monophyletic		0.30		17.46	match	match	match	match	0	N/A
Tachyporus abdominalis	3	1	monophyletic		0.16		8.13	match	match	match	match	0.77	0.67
Tachyporus chrysomelinus	5	4	monophyletic		7.29	6.39	6.65	split	split	split	split	240.62	129.46
Tachyporus nitidulus	1	1	monophyletic		N/A		9.22	match	match	match	match	0	N/A
Tachyporus obtusus	2	1	monophyletic		0.00		6.65	match	match	match	match	0	N/A
Tachyporus pallidus	4	1	monophyletic		0.00		7.19	match	match	match	match	260.36	158.17
Tachyporus pulchellus	5	4	monophyletic		4.59	4.42	8.69	match	split	split	split	435.68	313.81
Tachyporus pusillus	5	2	monophyletic		0.15		6.36	match	match	match	match	519.67	320.89
Tachyporus scitulus	5	4	monophyletic		1.12		6.36	match	match	match	match	405.72	216.31
Tachyporus solutus	2	1	monophyletic		0.00		8.54	match	match	match	match	0	N/A
Tachyporus sp.	1	1	monophyletic		N/A		6.35	match	match	match	match	0	N/A
Tachyta nana	5	1	monophyletic		0.00		11.47	match	match	match	match	426.59	261.24
Tachyura parvula	3	1	monophyletic		0.00		11.12	match	match	match	match	0.00	0.00
Tanysphyrus lemnae	3	3	monophyletic		0.96		20.55	match	match	match	match	310.67	94.89
Tapinotus sellatus	1	1	monophyletic		N/A		19.23	match	match	match	match	0	N/A
Tasgius melanarius	3	2	monophyletic		0.30		15.01	match	match	match	match	2.79	2.41
Telmatophilus schoenherrii	1	1	monophyletic		N/A		12.45	match	match	match	match	0	N/A
Telmatophilus typhae	1	1	monophyletic		N/A		12.45	match	match	match	match	0	N/A
Temnocerus nanus	5	2	monophyletic		0.32		12.44	match	match	match	match	406.19	304.43
Temnocerus tomentosus	3	2	monophyletic		0.30		12.44	match	match	match	match	414.48	337.72
Tenebrio molitor	2	1	monophyletic		0.00		19.05	match	match	match	match	0	N/A
Tetartopeus quadratus	1	1	monophyletic		N/A		1.08	merge	merge	merge	merge	0	N/A
Tetartopeus sphagnetorum	2	1	monophyletic		0.00		14.03	match	match	match	match	0	N/A
Tetartopeus terminatus	6	4	monophyletic		0.46		1.08	merge	merge	merge	merge	481.74	462.60
Tetartopeus zetterstedti	4	2	monophyletic		0.15		12.02	match	match	match	match	251.07	151.50
Tetratoma fungorum	1	1	monophyletic		N/A		17.24	match	match	match	match	0	N/A
Tetropium aquilonium	1	1	monophyletic		N/A		6.75	match	match	match	match	0	N/A
Tetropium castaneum	5	4	polyphyletic	"Tetropium aquilonium,Tetropium fuscum"	6.30	5.94	6.75	split	split	split	split	288.34	109.89
Tetropium fuscum	1	1	monophyletic		N/A		11.07	match	match	match	match	0	N/A
Tetrops praeusta	3	3	monophyletic		13.22	12.65	13.07	split	split	split	split	332.54	272.63
Tetrops starkii	2	2	monophyletic		0.76		14.06	match	match	match	match	0	N/A
Thanasimus femoralis	1	1	monophyletic		N/A		12.03	match	match	match	match	0	N/A
Thanasimus formicarius	5	4	monophyletic		2.81	2.28	12.03	match	split	split	match	482.65	225.11
Thanatophilus dispar	3	2	monophyletic		0.15		12.48	match	match	match	match	54.74	38.48
Thanatophilus lapponicus	2	2	monophyletic		0.31		11.69	match	match	match	match	0	N/A
Thanatophilus rugosus	3	2	monophyletic		0.16		12.48	match	match	match	match	77.05	66.73
Thanatophilus sinuatus	1	1	monophyletic		N/A		11.69	match	match	match	match	0	N/A
Thecturota marchii	1	1	monophyletic		N/A		12.79	match	match	match	match	0	N/A
Thinobius ciliatus	2	2	monophyletic		0.30		17.22	match	match	match	match	0	N/A
Thinonoma atra	3	2	monophyletic		0.15		14.47	match	match	match	match	336.56	291.47
Thryogenes festucae	3	2	monophyletic		0.15		19.47	match	match	match	match	91.45	36.76
Thymalus aubei	1	1	monophyletic		N/A		17.48	match	match	match	match	0	N/A
Tinotus morion	1	1	monophyletic		N/A		11.65	match	match	match	match	0	N/A
Tomicus piniperda	2	2	monophyletic		0.46		18.43	match	match	match	match	0	N/A
Tomoxia bucephala	3	2	monophyletic		2.94	2.80	23.04	match	split	match	split	328.71	284.68
Trachodes hispidus	4	3	monophyletic		3.46	2.97	18.80	match	split	split	split	180.23	116.96
Trachyphloeus bifoveolatus	2	1	monophyletic		0.00		16.88	match	match	match	match	0	N/A
Trachyphloeus rectus	2	1	monophyletic		0.00		16.88	match	match	match	match	0	N/A
Trachys minutus	3	3	monophyletic		1.54	1.54	21.21	match	match	match	match	310.15	264.18
Trechus quadristriatus	5	3	monophyletic		0.30		11.91	match	match	match	match	67.97	54.73
Trechus rubens	3	1	monophyletic		0.00		10.10	match	match	match	match	141.62	107.57
Trechus secalis	2	2	monophyletic		0.17		10.10	match	match	match	match	0	N/A
Tribolium confusum	6	2	monophyletic		0.18		14.14	match	match	match	match	13.43	11.34
Trichius fasciatus	2	2	monophyletic		1.02		15.12	match	match	match	match	0	N/A
Trichophya pilicornis	1	1	monophyletic		N/A		12.05	match	match	match	match	0	N/A
Trichosirocalus troglodytes	3	3	monophyletic		1.70	1.69	16.85	match	match	match	match	399.95	323.23
Trimium brevicorne	1	1	monophyletic		N/A		21.50	match	match	match	match	0	N/A
Triplax aenea	2	1	monophyletic		0.00		16.33	match	match	match	match	0	N/A
Triplax rufipes	2	2	monophyletic		0.30		17.40	match	match	match	match	0	N/A
Triplax russica	4	2	monophyletic		0.30		16.33	match	match	match	match	250.12	121.75
Tritoma bipustulata	2	2	monophyletic		0.30		19.64	match	match	match	match	0	N/A
Trixagus carinifrons	1	1	monophyletic		N/A		19.31	match	match	match	match	0	N/A
Trixagus dermestoides	5	3	monophyletic		0.30		19.31	match	match	match	match	333.16	220.16
Tropideres dorsalis	1	1	monophyletic		N/A		19.04	match	match	match	match	0	N/A
Tropiphorus elevatus	1	1	monophyletic		N/A		20.33	match	match	match	match	0	N/A
Trox sabulosus	3	2	monophyletic		0.15		16.58	match	match	match	match	0.00	0.00
Trypodendron domesticum	2	2	monophyletic		0.15		11.34	match	match	match	match	0	N/A
Trypodendron signatum	1	1	monophyletic		N/A		11.34	match	match	match	match	0	N/A
Trypophloeus bispinulus	2	2	monophyletic		13.17	13.17	21.14	split	split	split	split	0	N/A
Tychius breviusculus	3	2	monophyletic		0.16		16.29	match	match	match	match	64.47	55.84
Tychius junceus	1	1	monophyletic		N/A		17.03	match	match	match	match	0	N/A
Tychius picirostris	5	3	monophyletic		1.11		16.81	match	match	match	match	512.00	293.67
Tychius schneideri	1	1	monophyletic		N/A		16.29	match	match	match	match	0	N/A
Typhaea decipiens	1	1	monophyletic		N/A		6.70	match	match	match	match	0	N/A
Typhaea stercorea	2	1	monophyletic		0.00		6.70	match	match	match	match	0	N/A
Tyrus mucronatus	1	1	monophyletic		N/A		14.17	match	match	match	match	0	N/A
