Species	Individuals sampled	Haplotypes observed	Monophyly assessment	Tanglees (for non-monophyletic species)	Maximum intraspecific divergence	Deepest intraspecific split (K2P)	Distance to nearest neighbor (K2P)	ABGD outcome	BIN outcome	GMYC outcome	PTP outcome	Average distance between samplings (km)	Stdev of distances between samplings (km)
Apion fulvipes	2	1	monophyletic		0.00		4.59	merge	match	match	match	0	N/A
Apion gracilipes	1	1	monophyletic		N/A		4.59	merge	match	match	match	0	N/A
Apion gyllenhalii	2	1	monophyletic		0.00		14.21	match	match	match	match	0	N/A
Apion hookerorum	3	1	monophyletic		0.00		17.07	match	match	match	match	364.06	204.19
Apion loti	4	2	monophyletic		0.61		15.45	match	match	match	match	256.21	198.46
Apion marchicum	1	1	monophyletic		N/A		19.74	match	match	match	match	0	N/A
Apion meliloti	6	4	monophyletic		0.82		15.45	match	match	match	match	379.01	242.27
Apion minimum	1	1	monophyletic		N/A		14.42	match	match	match	match	0	N/A
Apion opeticum	1	1	monophyletic		N/A		12.06	match	match	match	match	0	N/A
Apion punctigerum	1	1	monophyletic		N/A		9.53	match	match	match	match	0	N/A
Apion simile	4	3	monophyletic		0.96		16.04	match	match	match	match	469.62	257.89
Apion subulatum	3	1	monophyletic		0.00		12.06	match	match	match	match	419.39	55.63
Apion tenue	2	1	monophyletic		0.00		14.62	match	match	match	match	0	N/A
Apion trifolii	2	1	monophyletic		0.00		9.64	match	match	match	match	0	N/A
Apion urticarium	2	1	monophyletic		0.00		14.48	match	match	match	match	0	N/A
Apion viciae	5	5	monophyletic		1.96	1.60	14.33	match	split	match	match	447.70	314.27
Apion violaceum	3	2	monophyletic		0.16		18.80	match	match	match	match	305.74	264.78
Aplocnemus tarsalis	2	2	monophyletic		0.15		13.63	match	match	match	match	0	N/A
Aploderus caelatus	2	2	monophyletic		3.13	3.13	14.76	match	split	split	split	0	N/A
Aplotarsus incanus	4	2	monophyletic		0.15		16.07	match	match	match	match	405.57	302.77
Apocatops nigrita	2	1	monophyletic		0.00		15.39	match	match	match	match	0	N/A
Archarius crux	3	1	monophyletic		0.00		13.53	match	match	match	match	0.00	0.00
Archarius pyrrhoceras	2	2	monophyletic		0.30		15.77	match	match	match	match	0	N/A
Archarius salicivorus	2	2	monophyletic		0.32		13.53	match	match	match	match	0	N/A
Arhopalus rusticus	5	5	monophyletic		3.02	2.01	17.84	match	match	split	split	277.57	118.98
Aromia moschata	7	5	monophyletic		0.92		16.84	match	match	match	match	433.93	232.28
Arpedium quadrum	3	3	monophyletic		1.39		10.77	match	match	match	match	382.50	291.98
Asaphidion pallipes	4	3	monophyletic		0.30		11.09	match	match	match	match	189.26	146.30
Asemum striatum	5	3	monophyletic		0.61		14.56	match	match	match	match	410.22	269.73
Aspidiphorus orbiculatus	4	4	monophyletic		0.64		20.26	match	match	match	match	329.20	287.62
Astenus gracilis	4	4	monophyletic		1.07		13.21	match	match	match	match	97.64	61.29
Astenus pulchellus	5	2	monophyletic		0.61		13.21	match	match	match	match	333.17	238.98
Atheta aeneipennis	6	6	monophyletic		0.92		0.92	merge	merge	merge	merge	133.48	194.99
Atheta allocera	3	2	monophyletic		0.15		7.86	match	match	match	match	142.95	123.80
Atheta arctica	1	1	monophyletic		N/A		12.45	match	match	match	match	0	N/A
Atheta atramentaria	5	4	monophyletic		0.30		9.56	match	match	match	match	498.15	312.08
Atheta boreella	1	1	monophyletic		N/A		11.04	match	match	match	match	0	N/A
Atheta britteni	4	4	monophyletic		1.37		13.43	match	match	match	match	386.97	324.99
Atheta brunneipennis	2	2	monophyletic		0.15		8.54	match	match	match	match	0	N/A
Atheta castanoptera	1	1	monophyletic		N/A		8.59	match	match	match	match	0	N/A
Atheta cauta	3	3	monophyletic		0.30		12.78	match	match	match	match	0.00	0.00
Atheta celata	2	2	monophyletic		0.15		13.30	match	match	match	match	0	N/A
Atheta cinnamoptera	5	4	monophyletic		0.49		11.84	match	match	match	match	101.59	102.35
Atheta corvina	1	1	monophyletic		N/A		13.49	match	match	match	match	0	N/A
Atheta crassicornis	6	5	monophyletic		1.23		6.19	match	match	match	match	338.85	327.73
Atheta cribripennis	3	2	monophyletic		0.15		9.40	match	match	match	match	209.88	181.76
Atheta dadopora	1	1	monophyletic		N/A		11.47	match	match	match	match	0	N/A
Atheta deformis	2	1	monophyletic		0.00		12.78	match	match	match	match	0	N/A
Atheta depressicollis	1	1	monophyletic		N/A		12.21	match	match	match	match	0	N/A
Atheta diversa	1	1	monophyletic		N/A		4.39	match	match	match	match	0	N/A
Atheta elongatula	6	5	monophyletic		1.72	1.23	11.86	match	match	match	match	317.24	189.27
Atheta euryptera	4	1	monophyletic		0.00		8.87	match	match	match	match	543.79	351.50
Atheta excelsa	2	1	monophyletic		0.00		10.46	match	match	match	match	0	N/A
Atheta fallaciosa	1	1	monophyletic		N/A		13.68	match	match	match	match	0	N/A
Atheta gagatina	4	3	monophyletic		0.75		13.40	match	match	match	match	110.09	114.38
